,primary_title,runtime_minutes,genres,averagerating,original_language,original_title,popularity,vote_average,release_date,production_budget,worldwide_gross,studio,domestic_gross,foreign_gross
426,Made in Dagenham,113.0,Comedy,7.2,en,Made in Dagenham,7.275,6.6,2010-11-19,8000000.0,15644196.0,SPC,1100000.0,11300000.0
426,Made in Dagenham,113.0,Drama,7.2,en,Made in Dagenham,7.275,6.6,2010-11-19,8000000.0,15644196.0,SPC,1100000.0,11300000.0
427,Coriolanus,123.0,Drama,6.1,en,Coriolanus,8.016,6.0,2012-01-20,10000000.0,2179623.0,Wein.,757000.0,315000.0
427,Coriolanus,123.0,Thriller,6.1,en,Coriolanus,8.016,6.0,2012-01-20,10000000.0,2179623.0,Wein.,757000.0,315000.0
427,Coriolanus,123.0,War,6.1,en,Coriolanus,8.016,6.0,2012-01-20,10000000.0,2179623.0,Wein.,757000.0,315000.0
428,Coriolanus,192.0,Drama,8.7,en,Coriolanus,8.016,6.0,2012-01-20,10000000.0,2179623.0,Wein.,757000.0,315000.0
428,Coriolanus,192.0,History,8.7,en,Coriolanus,8.016,6.0,2012-01-20,10000000.0,2179623.0,Wein.,757000.0,315000.0
428,Coriolanus,192.0,War,8.7,en,Coriolanus,8.016,6.0,2012-01-20,10000000.0,2179623.0,Wein.,757000.0,315000.0
429,Pride and Prejudice and Zombies,108.0,Action,5.8,en,Pride and Prejudice and Zombies,9.086,5.7,2016-02-05,28000000.0,16638300.0,SGem,10900000.0,5500000.0
429,Pride and Prejudice and Zombies,108.0,Comedy,5.8,en,Pride and Prejudice and Zombies,9.086,5.7,2016-02-05,28000000.0,16638300.0,SGem,10900000.0,5500000.0
429,Pride and Prejudice and Zombies,108.0,Horror,5.8,en,Pride and Prejudice and Zombies,9.086,5.7,2016-02-05,28000000.0,16638300.0,SGem,10900000.0,5500000.0
430,Upside Down,109.0,Drama,6.4,en,Upside Down,12.454,6.2,2013-03-15,50000000.0,26387039.0,MNE,105000.0,8000000.0
430,Upside Down,109.0,Fantasy,6.4,en,Upside Down,12.454,6.2,2013-03-15,50000000.0,26387039.0,MNE,105000.0,8000000.0
430,Upside Down,109.0,Romance,6.4,en,Upside Down,12.454,6.2,2013-03-15,50000000.0,26387039.0,MNE,105000.0,8000000.0
431,Upside Down,,Drama,7.7,en,Upside Down,12.454,6.2,2013-03-15,50000000.0,26387039.0,MNE,105000.0,8000000.0
432,Upside Down,81.0,Drama,6.6,en,Upside Down,12.454,6.2,2013-03-15,50000000.0,26387039.0,MNE,105000.0,8000000.0
433,Inception,148.0,Action,8.8,en,Inception,27.92,8.3,2010-07-16,160000000.0,835524642.0,WB,292600000.0,535700000.0
433,Inception,148.0,Adventure,8.8,en,Inception,27.92,8.3,2010-07-16,160000000.0,835524642.0,WB,292600000.0,535700000.0
433,Inception,148.0,Sci-Fi,8.8,en,Inception,27.92,8.3,2010-07-16,160000000.0,835524642.0,WB,292600000.0,535700000.0
